Ads,Ad name,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (AUD),Result Type,Cost per result,Impressions,Reach,Frequency,Clicks (all),CTR (all),Outbound clicks,Purchases,Purchase ROAS (return on ad spend),Video plays at 95%,Preview link,Reporting starts,Reporting ends
V1 - Chloe Partnership - Maternity,V1 - Chloe Partnership - Maternity,Average,Above average,Above average,573.28,Website purchases,15.92444444,44167,27684,1.59539806,692,1.56678063,483,36,11.04289352,2049,https://www.facebook.com/?feed_demo_ad=120233161771560758&h=AQB6PNjfXGmmi7ZiZFg,17/10/2025,23/10/2025
Shopify Dynamic Facebook Ads Product Set - Sales,Shopify Dynamic Facebook Ads Product Set - Sales,Average,Above average,Above average,476.72,Website purchases,43.33818182,14341,6434,2.22894001,1071,7.46809846,974,11,6.27303239,89,https://www.facebook.com/?feed_demo_ad=120235624857080758&h=AQDSpdcNwQGiKDZzTAk&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
V1 - Celine  Partnership - Polka Dots,V1 - Celine  Partnership - Polka Dots,Average,Average,Above average,390.08,Website purchases,12.19,30157,17297,1.74348153,349,1.15727692,260,32,14.93352646,488,https://www.facebook.com/?feed_demo_ad=120234120705770758&h=AQAtmCSO9H6Qa-EQnxg,17/10/2025,23/10/2025
DYNCOL1 - Bridesmaid Dresses - Rust - AUS - 17.09.24,DYNCOL1 - Bridesmaid Dresses - Rust - AUS - 17.09.24,Average,Above average,Above average,384.09,Website purchases,24.005625,26773,11352,2.35843904,273,1.01968401,103,16,7.86482335,,https://www.facebook.com/?feed_demo_ad=120233779804420758&h=AQCcjlcnGTRmks3xUC0,17/10/2025,23/10/2025
V1 - Paris Partnership - Dresses,V1 - Paris Partnership - Dresses,Below average – bottom 35% of ads,Above average,Above average,378.47,Website purchases,10.51305556,29149,17239,1.69087534,323,1.10809976,229,36,15.5207282,196,https://www.facebook.com/?feed_demo_ad=120235625852650758&h=AQDYbEE7KYqISM8DH84,17/10/2025,23/10/2025
EP1 - @sophiebatzloff  - Baxter Pant - White Lace - USA - 14.10.25 – Copy,EP1 - @sophiebatzloff  - Baxter Pant - White Lace - USA - 14.10.25 – Copy,Average,Above average,Below average – bottom 35% of ads,328.99,Website purchases,328.99,9267,6249,1.48295727,157,1.69418366,97,1,0.9421259,,https://www.facebook.com/?feed_demo_ad=120235698307570758&h=AQANE0Gar7zta-HYtg4,17/10/2025,23/10/2025
DYNCOL1 - Bridesmaid Dresses - Dusty Pink - AUS - 17.09.24,DYNCOL1 - Bridesmaid Dresses - Dusty Pink - AUS - 17.09.24,Average,Above average,Average,314.12,Website purchases,19.6325,20050,8755,2.29011993,250,1.24688279,100,16,10.17872151,,https://www.facebook.com/?feed_demo_ad=120233779758790758&h=AQBRyiOqIMFIRyNbCIA,17/10/2025,23/10/2025
V1 - Partnership - @chlobellexx - Maternity Dress - AUS,V1 - Partnership - @chlobellexx - Maternity Dress - AUS,Average,Above average,Average,311.91,Website purchases,34.65666667,30056,17929,1.67639021,421,1.40071866,293,9,5.88817287,1668,https://www.facebook.com/?feed_demo_ad=120235479154160758&h=AQAmN9hl0oU5lGCiTSU,17/10/2025,23/10/2025
DYNCAR1 - Yellow Dresses - UK - 10.09.25,DYNCAR1 - Yellow Dresses - UK - 10.09.25,Average,Above average,Average,311.76,Website purchases,62.352,18153,7362,2.46577017,529,2.91411888,410,5,5.70701822,,https://www.facebook.com/?feed_demo_ad=120233790642970758&h=AQD6UOqDjMWsMKcTamA,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS - Frame Refunds,DYNCAR - ALL PROD - AUS - Frame Refunds,Average,Above average,Above average,286.83,Website purchases,2.8683,21147,8189,2.58236659,662,3.13046768,550,100,57.73398877,,https://www.facebook.com/?feed_demo_ad=120235058828030758&h=AQBZTK4xOn0uGiwaRbY&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS,DYNCAR - ALL PROD - AUS,Above average,Above average,Above average,282.76,Website purchases,3.28790698,24037,7104,3.38358671,982,4.08536839,912,86,49.02949498,,https://www.facebook.com/?feed_demo_ad=120209083181910758&h=AQDNAt_bURm3k_tWvS8&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DYNCAR - Back In Stock October  - AUS,DYNCAR - Back In Stock October  - AUS,Average,Above average,Above average,276.58,Website purchases,34.5725,14796,8708,1.69912724,491,3.31846445,433,8,6.17868248,,https://www.facebook.com/?feed_demo_ad=120234909082350758&h=AQA1xjxf6AD65xwmmhA,17/10/2025,23/10/2025
V1 - Celine Partnership - Polka Dots,V1 - Celine Partnership - Polka Dots,Average,Average,Average,258.62,Website purchases,23.51090909,26361,14824,1.77826498,305,1.15701225,230,11,6.59078958,445,https://www.facebook.com/?feed_demo_ad=120235479154030758&h=AQDSBFupTbROAf56zOg,17/10/2025,23/10/2025
EPV5 - @jess_kahler - Dresses - AUS - 02.09.25,EPV5 - @jess_kahler - Dresses - AUS - 02.09.25,Average,Above average,Above average,222.35,Website purchases,9.6673913,10693,6917,1.5459014,461,4.31123165,301,23,20.44479424,521,https://www.facebook.com/?feed_demo_ad=120233265575740758&h=AQCreAnXfVclZVrHEcg,17/10/2025,23/10/2025
DYNS1 - Freya Maxi Dress - Black - AUS - 21.08.25,DYNS1 - Freya Maxi Dress - Black - AUS - 21.08.25,Average,Average,Average,213.3,Website purchases,26.6625,46258,28059,1.6485976,85,0.183752,67,8,4.40436006,35,https://www.facebook.com/?feed_demo_ad=120233321624670758&h=AQBYGbdKCX-rnNSpmoU,17/10/2025,23/10/2025
1.Aq - DPA - ADV+ - CAR CAT ALL PROD - Canada,1.Aq - DPA - ADV+ - CAR CAT ALL PROD - Canada,Average,Above average,Above average,195.37,Website purchases,39.074,11449,5827,1.96481895,544,4.75150668,481,5,5.44761222,,https://www.facebook.com/?feed_demo_ad=120211909326130758&h=AQDtxPELlkDECMcpEHE,17/10/2025,23/10/2025
